Reference,Qty,Value,DNP,Exclude from BOM,Exclude from Board,Footprint,Datasheet
"R205,R311,R405,R503,R600,R601,R706,R707",8,470R,,,,Resistor_SMD:R_0402_1005Metric,~
"R206,R400,R410,R506,R507,R510,R511,R512,R703",9,4K7,,,,Resistor_SMD:R_0402_1005Metric,
"R208,R209,R211,R214,R302",5,10K,DNP,,,Resistor_SMD:R_0402_1005Metric,
R304,1,5K23,,,,Resistor_SMD:R_0402_1005Metric,
R305,1,130R,,,,Resistor_SMD:R_0402_1005Metric,
R306,1,30K1,,,,Resistor_SMD:R_0402_1005Metric,
R404,1,1M,,,,Resistor_SMD:R_0402_1005Metric,~
R406,1,64K9,,,,Resistor_SMD:R_0402_1005Metric,~
"SW800,SW801",2,SW_Push,,,,Button_Switch_SMD:SW_SPST_PTS645,~
TH300,1,103AT-2,,,,Connector_PinSocket_2.54mm:PinSocket_1x02_P2.54mm_Vertical,https://www.mouser.com/datasheet/2/362/semitec_atthermistor-1202913.pdf
"TP100,TP101,TP301,TP404,TP406,TP407,TP410,TP411,TP500,TP501,TP502,TP503,TP504,TP505,TP506,TP507,TP508,TP509,TP600,TP601,TP602,TP603,TP700,TP701,TP702,TP703,TP704,TP800,TP801,TP802,TP803,TP804,TP805",33,~,,Excluded from BOM,,TestPoint:TestPoint_Pad_D1.0mm,~
TP300,1,+VBAT,,Excluded from BOM,,TestPoint:TestPoint_Pad_D1.0mm,~
"TP400,TP401,TP402,TP403,TP405,TP408,TP409",7,TestPoint_Small,,,,TestPoint:TestPoint_Pad_D1.0mm,~
U100,1,USBLC6-2P6,,,,Package_TO_SOT_SMD:SOT-666,https://eu.mouser.com/ProductDetail/STMicroelectronics/USBLC6-2P6?qs=6ARB0lp6jlViGcbUSvj1Mw%3D%3D&srsltid=AfmBOor_ZYjxQ31r19kR2aSn5O28MWVXeKFG-OVlIKrQ5xUBBDZNAJWA
U101,1,CP2102N-A02-GQFN24,,,,Custom_Global_Footprints:CP2102N_QFN-24-1EP_4x4mm_P0.5mm_EP2.5x2.5mm,https://www.silabs.com/documents/public/data-sheets/cp2102n-datasheet.pdf
U200,1,CYPD3177-24LQ,,,,Package_DFN_QFN:QFN-24-1EP_4x4mm_P0.5mm_EP2.75x2.75mm_ThermalVias,https://www.infineon.com/dgdl/Infineon-EZ-PD_BCR_Datasheet_USB_Type-C_Port_Controller_for_Power_Sinks-DataSheet-v03_00-EN.pdf?fileId=8ac78c8c7d0d8da4017d0ee7ce9d70ad
U300,1,BQ25892,,,,Package_DFN_QFN:Texas_RTW_WQFN-24-1EP_4x4mm_P0.5mm_EP2.7x2.7mm_ThermalVias,https://www.ti.com/lit/ds/symlink/bq25890.pdf
U400,1,BDJ2FC0WFP,,,,Package_TO_SOT_SMD:TO-252-4,https://fscdn.rohm.com/en/products/databook/datasheet/ic/power/linear_regulator/bdxxfc0wefj-e.pdf
U401,1,TLV61048,,,,Custom_Global_Footprints:TLV61048,https://www.ti.com/lit/ds/symlink/tlv61048.pdf?ts=1757675198140&ref_url=https%253A%252F%252Fwww.google.com%252F
U402,1,NCP1117-12_SOT223,,,,Package_TO_SOT_SMD:SOT-223,http://www.onsemi.com/pub_link/Collateral/NCP1117-D.PDF
"U403,U404",2,XC6220B331MR,,,,Package_TO_SOT_SMD:SOT-23-5,https://www.torexsemi.com/file/xc6220/XC6220.pdf
U500,1,DS3231M,,,,Package_SO:SOIC-16W_7.5x10.3mm_P1.27mm,https://www.analog.com/media/en/technical-documentation/data-sheets/ds3231m.pdf
U501,1,ESP32-WROOM-32E,,,,RF_Module:ESP32-WROOM-32E,https://www.espressif.com/sites/default/files/documentation/esp32-wroom-32e_esp32-wroom-32ue_datasheet_en.pdf
U502,1,AT24CS01-SSHM,,,,Package_SO:SOIC-8_3.9x4.9mm_P1.27mm,http://ww1.microchip.com/downloads/en/DeviceDoc/Atmel-8815-SEEPROM-AT24CS01-02-Datasheet.pdf
