STN3NF06L,N-Channel 120mΩ@5V 2.8V@250uA 3.3W 30pF 340pF 4A 60V 63pF 9nC@5V N-Channel SOT-223 MOSFETs,"Q600,Q601",Package_TO_SOT_SMD:SOT-223,,
22K1,0.1% 1/16W,"R100,R112,R308,R700,R702",Resistor_SMD:R_0402_1005Metric,,
1K,1% 1/16W,"R101,R202,R203,R204,R218,R300,R301,R309,R411,R412,R701,R808",Resistor_SMD:R_0402_1005Metric,,
0R,1/16W 1%,"R102,R104,R210,R212,R213,R215,R502,R508,R509,R800,R801,R802,R803,R804,R805,R806,R807",Resistor_SMD:R_0402_1005Metric,,
47K5,1% 1/16W,R103,Resistor_SMD:R_0402_1005Metric,,
220R,1% 1/16W,"R105,R106,R500",Resistor_SMD:R_0402_1005Metric,,
10K,1% 1/16W,"R107,R207,R303,R307,R310,R312,R501,R504,R505,R602,R603,R704,R705,R708,R709",Resistor_SMD:R_0402_1005Metric,,
158K,1% 1/16W,R108,Resistor_SMD:R_0402_1005Metric,,
14K3,1% 1/16W,R109,Resistor_SMD:R_0402_1005Metric,,
49K9,1% 1/16W,"R110,R201,R216,R217",Resistor_SMD:R_0402_1005Metric,,
20K,1% 1/16W,R111,Resistor_SMD:R_0402_1005Metric,,
10K,1% 1/16W,"R121,R208,R209,R211,R214,R302",Resistor_SMD:R_0402_1005Metric,DNP,
470R,1% 1/16W,"R205,R311,R405,R503,R600,R601,R706,R707",Resistor_SMD:R_0402_1005Metric,,
4K7,1% 1/16W,"R206,R400,R410,R506,R507,R510,R511,R512,R703",Resistor_SMD:R_0402_1005Metric,,
5K23,0.1% 1/16W,R304,Resistor_SMD:R_0402_1005Metric,,
130R,0.1% 1/16W,R305,Resistor_SMD:R_0402_1005Metric,,
30K1,0.1% 1/16W,R306,Resistor_SMD:R_0402_1005Metric,,
22R,1% 1/16W,"R401,R407,R408,R409,R413",Resistor_SMD:R_0402_1005Metric,,
511K,1% 1/16W,"R402,R403,R404",Resistor_SMD:R_0402_1005Metric,,
511K,1% 1/16W,"R406,R419,R420",Resistor_SMD:R_0402_1005Metric,DNP,Excluded from BOM
22R,1% 1/16W,"R414,R415,R416,R417,R418",Resistor_SMD:R_0402_1005Metric,DNP,Excluded from BOM
SW_Push,"Push button switch, generic, two pins","SW800,SW801",Custom_Global_Footprints:SW_101-C-W_XKB,,
103AT-2,Temperature dependent resistor,TH300,Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical,,
~,test point,"TP301,TP500,TP501,TP502,TP503,TP506,TP507,TP509,TP600,TP601,TP602,TP603,TP700,TP701,TP702,TP703,TP704,TP800,TP801,TP802,TP803,TP804,TP805",TestPoint:TestPoint_Pad_D1.0mm,,Excluded from BOM
TestPoint,test point,"TP400,TP401,TP404,TP406,TP407",TestPoint:TestPoint_Pad_1.5x1.5mm,,
TestPoint_Small,test point,"TP402,TP403,TP405,TP412,TP413,TP414,TP419,TP420,TP421,TP422,TP423,TP424,TP426,TP427,TP428,TP429",TestPoint:TestPoint_Pad_D1.0mm,,Excluded from BOM
USBLC6-2P6,150nA 17V 2 3.5pF 5.25V 5A@8/20us 6V ESD IEC 61000-4-2 Unidirectional SOT-666-6 ESD and Surge Protection (TVS/ESD),U100,Package_TO_SOT_SMD:SOT-666,,
CP2102N-A02-GQFN24R,1.3uA 3V~3.6V 9.5mA USB 2.0 USB to UART QFN-24-EP(4x4) USB Converters,U101,Custom_Global_Footprints:CP2102N_QFN-24-1EP_4x4mm_P0.5mm_EP2.5x2.5mm,,
TPS61287RZPR,,U104,Custom_Global_Footprints:RZP0014A-MFG,,
CYPD3177-24LQ,10mA 3V~24.5V 500uA PD 3.0 QFN-24 USB Converters,U200,Package_DFN_QFN:QFN-24-1EP_4x4mm_P0.5mm_EP2.75x2.75mm_ThermalVias,,
BQ25892,12uA 3.9V~14V 4.208V 5.056A Charging IC I2C Lithium Battery Support Support WQFN-24-EP(4x4) Battery Management,U300,Package_DFN_QFN:Texas_RTW_WQFN-24-1EP_4x4mm_P0.5mm_EP2.7x2.7mm_ThermalVias,,
XC6220B331MR-G,"1A 3.3V 50dB@(1kHz) 655mV@(1A) 6V 8uA Fixed Over Current Protection Positive SOT-25 Voltage Regulators - Linear, Low Drop Out (LDO) Regulators","U403,U404",Package_TO_SOT_SMD:SOT-23-5,,
LM1085IS-12/NOPB,"1.5V@(3A) 12V 25V 3A 5mA 60dB@(120Hz) Fixed Over Current Protection Positive TO-263-3 Voltage Regulators - Linear, Low Drop Out (LDO) Regulators","U405,U406",Package_TO_SOT_SMD:TO-263-3_TabPin2,,
DS3231M,Extremely Accurate I2C-Integrated RTC/TCXO/Crystal SOIC-16,U500,Package_SO:SOIC-16W_7.5x10.3mm_P1.27mm,,
ESP32-WROOM-32E-N4,ESP32-WROOM-32E-N4,U501,RF_Module:ESP32-WROOM-32E,,
AT24CS01-SSHM,"I2C Serial EEPROM, 1Kb (128x8) with Unique Serial Number, SO8",U502,Package_SO:SOIC-8_3.9x4.9mm_P1.27mm,,
